postal_code,district,district_grp,state,zone,metro,tier,city
134007,ambala,ambala,haryana,north,no,tier3,ambala
134008,ambala,ambala,haryana,north,no,tier3,ambala
134011,ambala,ambala,haryana,north,no,tier3,ambala
134101,panchkula,panchkula,haryana,north,no,tier3,pinjore
134102,panchkula,panchkula,haryana,north,no,tier3,pinjore
134103,panchkula,panchkula,haryana,north,no,tier3,panchkula
134104,panchkula,panchkula,haryana,north,no,tier3,panchkula
134105,panchkula,panchkula,haryana,north,no,tier3,panchkula
134107,panchkula,panchkula,haryana,north,no,tier3,panchkula
134108,panchkula,panchkula,haryana,north,no,tier3,panchkula
134109,panchkula,panchkula,haryana,north,no,tier3,panchkula
134111,panchkula,panchkula,haryana,north,no,tier3,ambala city
134112,panchkula,panchkula,haryana,north,no,tier3,panchkula
134113,panchkula,panchkula,haryana,north,no,tier3,panchkula
134114,panchkula,panchkula,haryana,north,no,tier3,panchkula
134115,panchkula,panchkula,haryana,north,no,tier3,ambala city
134116,ambala,ambala,haryana,north,no,tier3,panchkula
134117,panchkula,panchkula,haryana,north,no,tier3,panchkula
134118,panchkula,panchkula,haryana,north,no,tier3,barwala
134201,ambala,ambala,haryana,north,no,tier3,ambala
134202,ambala,ambala,haryana,north,no,tier3,panchkula
134203,ambala,ambala,haryana,north,no,tier3,naraingarh
134204,panchkula,panchkula,haryana,north,no,tier3,raipur rani
134205,panchkula,panchkula,haryana,north,no,tier3,panchkula
135001,yamuna nagar,yamuna nagar,haryana,north,no,tier3,yamunanagar
135002,yamuna nagar,yamuna nagar,haryana,north,no,tier3,yamunanagar
135003,yamuna nagar,yamuna nagar,haryana,north,no,tier3,yamunanagar
135004,ambala,ambala,haryana,north,no,tier3,ambala
135021,yamuna nagar,yamuna nagar,haryana,north,no,tier3,ambala
135101,yamuna nagar,yamuna nagar,haryana,north,no,tier3,ambala
135102,yamuna nagar,yamuna nagar,haryana,north,no,tier3,bilaspur
135103,yamuna nagar,yamuna nagar,haryana,north,no,tier3,chhachhrauli
135106,yamuna nagar,yamuna nagar,haryana,north,no,tier3,yamunanagar
135133,yamuna nagar,yamuna nagar,haryana,north,no,tier3,radaur
136020,kaithal,kaithal,haryana,north,no,tier3,kaithal
136021,kaithal,kaithal,haryana,north,no,tier3,kaithal
136026,kaithal,kaithal,haryana,north,no,tier3,kaithal
136027,kaithal,kaithal,haryana,north,no,tier3,kaithal
136030,kurukshetra,kurukshetra,haryana,north,no,tier3,pehowa
136033,kaithal,kaithal,haryana,north,no,tier3,kaithal
136034,kaithal,kaithal,haryana,north,no,tier3,guhla
136035,kaithal,kaithal,haryana,north,no,tier3,guhla
136038,kurukshetra,kurukshetra,haryana,north,no,tier3,thanesar
136042,kaithal,kaithal,haryana,north,no,tier3,kaithal
136043,kaithal,kaithal,haryana,north,no,tier3,kaithal
136044,kaithal,kaithal,haryana,north,no,tier3,kaithal
136117,kaithal,kaithal,haryana,north,no,tier3,kaithal
136118,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
136119,kurukshetra,kurukshetra,haryana,north,no,tier3,thanesa
136128,kurukshetra,kurukshetra,haryana,north,no,tier3,pehowa
136129,kurukshetra,kurukshetra,haryana,north,no,tier3,pehowa
136130,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
136131,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
136132,kurukshetra,kurukshetra,haryana,north,no,tier3,ladwa
136135,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
136136,kurukshetra,kurukshetra,haryana,north,no,tier3,kurukshetra
136156,kurukshetra,kurukshetra,haryana,north,no,tier3,babain
140001,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140022,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140101,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140102,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140103,rupnagar,rupnagar,punjab,north,no,tier3,kurali
140104,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140108,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140109,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140110,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140111,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140112,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140113,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140114,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140115,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140116,rupnagar,rupnagar,punjab,north,no,tier3,anandpur sahib
140117,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
140118,rupnagar,rupnagar,punjab,north,no,tier3,anandpur sahib
140119,rupnagar,rupnagar,punjab,north,no,tier3,rupnagar
